Ativo,Código,Fundo,Vencimento_final,Sub Classe,Emissor
CDB3253PPYA,CDB3253PPYA,BH FIRF INFRA,2026-03-10,CDB,PARANA BANCO S.A.
CDB3253PPYA,CDB3253PPYA,FIRF GERAES,2026-03-10,CDB,PARANA BANCO S.A.
CDB3253PPYA,CDB3253PPYA,FIRF GERAES 30,2026-03-10,CDB,PARANA BANCO S.A.
CDB3253PPYA,CDB3253PPYA,JERA2026,2026-03-10,CDB,PARANA BANCO S.A.
CDB3253PPYA,CDB3253PPYA,MANACA INFRA FIRF,2026-03-10,CDB,PARANA BANCO S.A.
CDB3253PPYA,CDB3253PPYA,REAL FIM,2026-03-10,CDB,PARANA BANCO S.A.
CDB424EERW3,CDB424EERW3,BBRASIL FIM CP RESP,2026-05-04,CDB,BANCO VOLKSWAGEN S/A
CDB925CDN0L,CDB925CDN0L,BBRASIL FIM CP RESP,2025-12-22,CDB,BANCO VOLKSWAGEN S/A
CDB725BEF4D,CDB725BEF4A,BMG SEG,2025-11-10,CDB,BANCO RANDON
CDB725BEF4B,CDB725BEF4A,FIRF GERAES,2025-11-10,CDB,BANCO RANDON
CDB725BEF4E,CDB725BEF4A,FIRF GERAES 30,2025-11-10,CDB,BANCO RANDON
CDB725BEF4C,CDB725BEF4A,HORIZONTE,2025-11-10,CDB,BANCO RANDON
CDB725BEF4A,CDB725BEF4A,REAL FIM,2025-11-10,CDB,BANCO RANDON
CDB7257QUDI,CDB7257QUDI,BMG SEG,2026-07-10,CDB,BANCO INTER SA
CDB7257QUDG,CDB7257QUDG,FIRF GERAES,2026-07-10,CDB,BANCO INTER SA
CDB7257QUDH,CDB7257QUDH,FIRF GERAES 30,2026-07-10,CDB,BANCO INTER SA
CDB7257QUDF,CDB7257QUDF,REAL FIM,2026-07-10,CDB,BANCO INTER SA
CDB3239C4TL,CDB3239C4TL,BBRASIL FIM CP RESP,2026-07-20,CDB,BANCO BTG PACTUAL S.A.
CDB3251WXH0,CDB3251WXH0,BH FIRF INFRA,2027-03-08,CDB,AGIBANK
CDB3251WXH0,CDB3251WXH0,FIRF GERAES,2027-03-08,CDB,AGIBANK
CDB3251WXH0,CDB3251WXH0,FIRF GERAES 30,2027-03-08,CDB,AGIBANK
CDB3251WXH0,CDB3251WXH0,TOPAZIO INFRA,2027-03-08,CDB,AGIBANK
