Sub Classe,Emissor,Ativo,Vencimento_final,Fundo,ISIN,COD_XP,KEY_STRICT
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KBT,2026-07-31,FIRF GERAES 30,BRBMEBLFI8V4,,LETRA FINANCEIRA | LF002400KBT | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES 30 | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KBU,2026-07-31,FIRF GERAES,BRBMEBLFI8V4,,LETRA FINANCEIRA | LF002400KBU | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KBW,2026-07-31,FIRF GERAES,BRBMEBLFI8V4,,LETRA FINANCEIRA | LF002400KBW | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KBX,2026-07-31,MANACA INFRA FIRF,BRBMEBLFI8V4,,LETRA FINANCEIRA | LF002400KBX | BANCO MERCANTIL DO BRASIL S.A. | MANACA INFRA FIRF | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KBY,2026-07-31,FIRF GERAES 30,BRBMEBLFI8V4,,LETRA FINANCEIRA | LF002400KBY | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES 30 | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KC0,2026-07-31,JERA2026,BRBMEBLFI8V4,567797-LF0,LETRA FINANCEIRA | LF002400KC0 | BANCO MERCANTIL DO BRASIL S.A. | JERA2026 | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KC1,2026-07-31,REAL FIM,BRBMEBLFI8V4,567798-LF0,LETRA FINANCEIRA | LF002400KC1 | BANCO MERCANTIL DO BRASIL S.A. | REAL FIM | 2026-07-31
Letra Financeira,BANCO MERCANTIL DO BRASIL S.A.,LF002400KC2,2026-07-31,TOPAZIO INFRA,BRBMEBLFI8V4,,LETRA FINANCEIRA | LF002400KC2 | BANCO MERCANTIL DO BRASIL S.A. | TOPAZIO INFRA | 2026-07-31
Títulos Privados,BANCO BMG S.A.,LFSC19002CD,2029-04-09,JERA2026,BRBMGBLFI7Q4,609712-LFS,TITULOS PRIVADOS | LFSC19002CD | BANCO BMG S.A. | JERA2026 | 2029-04-09
Títulos Privados,BANCO BMG S.A.,LFSC19002CE,2029-04-09,JERA2026,BRBMGBLFI7P6,609711-LFS,TITULOS PRIVADOS | LFSC19002CE | BANCO BMG S.A. | JERA2026 | 2029-04-09
Títulos Privados,BANCO BMG S.A.,LFSC19002HS,2029-04-09,JERA2026,BRBMGBLFI7R2,609713-LFS,TITULOS PRIVADOS | LFSC19002HS | BANCO BMG S.A. | JERA2026 | 2029-04-09
LFSC,BANCO ABC BRASIL S.A.,LFSC19003FD,2024-10-17,FIRF GERAES,BRZYTZLFISX8,,LFSC | LFSC19003FD | BANCO ABC BRASIL S.A. | FIRF GERAES | 2024-10-17
LFSC,BANCO ABC BRASIL S.A.,LFSC19003W3,2024-10-17,HORIZONTE,BRZYTZLFIT30,,LFSC | LFSC19003W3 | BANCO ABC BRASIL S.A. | HORIZONTE | 2024-10-17
LFSC,BANCO ABC BRASIL S.A.,LFSC19003W4,2024-10-17,FIRF GERAES 30,BRZYTZLFIT30,,LFSC | LFSC19003W4 | BANCO ABC BRASIL S.A. | FIRF GERAES 30 | 2024-10-17
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054C,2024-06-11,HORIZONTE,BRBNBRLFI013,,LFSC | LFSC190054C | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-11
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054D,2024-06-11,BH FIRF INFRA,BRBNBRLFI021,,LFSC | LFSC190054D | BANCO DO NORDESTE DO BRASIL S.A. | BH FIRF INFRA | 2024-06-11
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054D,2024-06-11,FIRF GERAES,BRBNBRLFI021,,LFSC | LFSC190054D | BANCO DO NORDESTE DO BRASIL S.A. | FIRF GERAES | 2024-06-11
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054D,2024-06-11,HORIZONTE,BRBNBRLFI021,,LFSC | LFSC190054D | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-11
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054D,2024-06-11,MANACA INFRA FIRF,BRBNBRLFI021,,LFSC | LFSC190054D | BANCO DO NORDESTE DO BRASIL S.A. | MANACA INFRA FIRF | 2024-06-11
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054I,2024-06-12,FIRF GERAES 30,BRBNBRLFI039,,LFSC | LFSC190054I | BANCO DO NORDESTE DO BRASIL S.A. | FIRF GERAES 30 | 2024-06-12
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190054I,2024-06-12,HORIZONTE,BRBNBRLFI039,,LFSC | LFSC190054I | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-12
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC190059S,2024-06-12,HORIZONTE,BRBNBRLFI062,,LFSC | LFSC190059S | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-12
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC19005FF,2024-06-18,FIRF GERAES 30,BRBNBRLFI0C5,,LFSC | LFSC19005FF | BANCO DO NORDESTE DO BRASIL S.A. | FIRF GERAES 30 | 2024-06-18
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC19005FF,2024-06-18,HORIZONTE,BRBNBRLFI0C5,,LFSC | LFSC19005FF | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-18
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC19005L1,2024-06-19,HORIZONTE,BRBNBRLFI0F8,,LFSC | LFSC19005L1 | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-19
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC19005L3,2024-06-21,BH FIRF INFRA,BRBNBRLFI0G6,,LFSC | LFSC19005L3 | BANCO DO NORDESTE DO BRASIL S.A. | BH FIRF INFRA | 2024-06-21
LFSC,BANCO DO NORDESTE DO BRASIL S.A.,LFSC19005L3,2024-06-21,FIRF GERAES 30,BRBNBRLFI0G6,,LFSC | LFSC19005L3 | BANCO DO NORDESTE DO BRASIL S.A. | FIRF GERAES 30 | 2024-06-21
LFSC,BANCO ABC BRASIL S.A.,LFSC19007G2,2024-10-17,FIRF GERAES 30,BRABCBLFI7N9,,LFSC | LFSC19007G2 | BANCO ABC BRASIL S.A. | FIRF GERAES 30 | 2024-10-17
LFSN,BANCO BRADESCO S.A.,LFSN1800DG1,2026-08-03,JERA2026,BRBBDCLTR2X9,407137-LFS,LFSN | LFSN1800DG1 | BANCO BRADESCO S.A. | JERA2026 | 2026-08-03
LFSN,BANCO BRADESCO S.A.,LFSN1800DIG,2026-03-08,FIRF GERAES,BRBBDCLTROH4,,LFSN | LFSN1800DIG | BANCO BRADESCO S.A. | FIRF GERAES | 2026-03-08
LFSN,BANCO SAFRA S.A.,LFSN1800DS5,2026-08-17,JERA2026,BRBSAFLNN8B3,335769-LFS,LFSN | LFSN1800DS5 | BANCO SAFRA S.A. | JERA2026 | 2026-08-17
LFSN,BANCO ABC BRASIL S.A.,LFSN1800E2G,2025-09-29,FIRF GERAES,BRZYTZLFIP00,,LFSN | LFSN1800E2G | BANCO ABC BRASIL S.A. | FIRF GERAES | 2025-09-29
LFSN,BANCO ABC BRASIL S.A.,LFSN1800E2I,2025-09-29,FIRF GERAES,BRZYTZLFIP34,,LFSN | LFSN1800E2I | BANCO ABC BRASIL S.A. | FIRF GERAES | 2025-09-29
LFSN,BANCO SAFRA S.A.,LFSN1800HXO,2026-11-06,FIRF GERAES,BRBSAFLNN7R1,,LFSN | LFSN1800HXO | BANCO SAFRA S.A. | FIRF GERAES | 2026-11-06
LFSN,BANCO SAFRA S.A.,LFSN1900008,2027-01-08,FIRF GERAES,BRBSAFLFNBB5,,LFSN | LFSN1900008 | BANCO SAFRA S.A. | FIRF GERAES | 2027-01-08
LFSN,BANCO BTG PACTUAL S.A.,LFSN19001BC,2027-04-09,JERA2026,BRBPACLFIVQ4,353997-N L,LFSN | LFSN19001BC | BANCO BTG PACTUAL S.A. | JERA2026 | 2027-04-09
LFSN,BANCO BTG PACTUAL S.A.,LFSN19001BH,2027-04-09,BH FIRF INFRA,BRBPACLFIVQ4,,LFSN | LFSN19001BH | BANCO BTG PACTUAL S.A. | BH FIRF INFRA | 2027-04-09
LFSN,BANCO BTG PACTUAL S.A.,LFSN19006KM,2028-05-31,FIRF GERAES 30,BRBPACLFIWC2,,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | FIRF GERAES 30 | 2028-05-31
LFSN,BANCO BTG PACTUAL S.A.,LFSN19006KM,2028-05-31,HORIZONTE,BRBPACLFIWC2,,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | HORIZONTE | 2028-05-31
LFSN,BANCO BTG PACTUAL S.A.,LFSN19006KM,2028-05-31,MANACA INFRA FIRF,BRBPACLFIWC2,,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | MANACA INFRA FIRF | 2028-05-31
LFSN,BANCO BTG PACTUAL S.A.,LFSN19006KM,2028-05-31,REAL FIM,BRBPACLFIWC2,513453-LFS,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | REAL FIM | 2028-05-31
LFSN,BANCO BTG PACTUAL S.A.,LFSN19006KN,2028-05-31,FIRF GERAES,BRBPACLFIWC2,,LFSN | LFSN19006KN | BANCO BTG PACTUAL S.A. | FIRF GERAES | 2028-05-31
LFSN,BANCO BMG S.A.,LFSN1900971,2026-06-22,BH FIRF INFRA,BRBMGBLFI489,,LFSN | LFSN1900971 | BANCO BMG S.A. | BH FIRF INFRA | 2026-06-22
LFSN,BANCO BMG S.A.,LFSN1900971,2026-06-22,BORDEAUX INFRA,BRBMGBLFI489,,LFSN | LFSN1900971 | BANCO BMG S.A. | BORDEAUX INFRA | 2026-06-22
LFSN,BANCO BMG S.A.,LFSN1900971,2026-06-22,FIRF GERAES,BRBMGBLFI489,,LFSN | LFSN1900971 | BANCO BMG S.A. | FIRF GERAES | 2026-06-22
LFSN,BANCO BMG S.A.,LFSN1900971,2026-06-22,FIRF GERAES 30,BRBMGBLFI489,,LFSN | LFSN1900971 | BANCO BMG S.A. | FIRF GERAES 30 | 2026-06-22
LFSN,BANCO BMG S.A.,LFSN19009YU,2026-06-26,BH FIRF INFRA,BRBMGBLFI5U0,,LFSN | LFSN19009YU | BANCO BMG S.A. | BH FIRF INFRA | 2026-06-26
LFSN,BANCO BMG S.A.,LFSN19009YU,2026-06-26,FIRF GERAES,BRBMGBLFI5U0,,LFSN | LFSN19009YU | BANCO BMG S.A. | FIRF GERAES | 2026-06-26
LFSN,BANCO SAFRA S.A.,LFSN1900CR5,2029-08-13,FIRF GERAES 30,BRBSAFLFNG47,,LFSN | LFSN1900CR5 | BANCO SAFRA S.A. | FIRF GERAES 30 | 2029-08-13
