Sub Classe,Ativo,Emissor,Fundo,Vencimento_final,KEY_STRICT
LFSC,LFSC19005L1,BANCO DO NORDESTE DO BRASIL S.A.,HORIZONTE,2024-06-19,LFSC | LFSC19005L1 | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-19
LFSC,LFSC19005FF,BANCO DO NORDESTE DO BRASIL S.A.,HORIZONTE,2024-06-18,LFSC | LFSC19005FF | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-18
LFSC,LFSC190054I,BANCO DO NORDESTE DO BRASIL S.A.,HORIZONTE,2024-06-12,LFSC | LFSC190054I | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-12
LFSC,LFSC190054C,BANCO DO NORDESTE DO BRASIL S.A.,HORIZONTE,2024-06-11,LFSC | LFSC190054C | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-11
LFSC,LFSC190059S,BANCO DO NORDESTE DO BRASIL S.A.,HORIZONTE,2024-06-12,LFSC | LFSC190059S | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-12
LFSC,LFSC190054D,BANCO DO NORDESTE DO BRASIL S.A.,HORIZONTE,2024-06-11,LFSC | LFSC190054D | BANCO DO NORDESTE DO BRASIL S.A. | HORIZONTE | 2024-06-11
LFSC,LFSC190054D,BANCO DO NORDESTE DO BRASIL S.A.,MANACA INFRA FIRF,2024-06-11,LFSC | LFSC190054D | BANCO DO NORDESTE DO BRASIL S.A. | MANACA INFRA FIRF | 2024-06-11
Letra Financeira,LF0024008OB,BANCO XP,BMG SEG,2026-03-23,LETRA FINANCEIRA | LF0024008OB | BANCO XP | BMG SEG | 2026-03-23
Letra Financeira,LF0024008OB,BANCO XP,FIRF GERAES,2026-03-23,LETRA FINANCEIRA | LF0024008OB | BANCO XP | FIRF GERAES | 2026-03-23
Letra Financeira,LF0024007Y4,BANCO XP,FIRF GERAES,2026-03-16,LETRA FINANCEIRA | LF0024007Y4 | BANCO XP | FIRF GERAES | 2026-03-16
Letra Financeira,LF002400KBW,BANCO MERCANTIL DO BRASIL S.A.,FIRF GERAES,2026-07-31,LETRA FINANCEIRA | LF002400KBW | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES | 2026-07-31
Letra Financeira,LF002400KBU,BANCO MERCANTIL DO BRASIL S.A.,FIRF GERAES,2026-07-31,LETRA FINANCEIRA | LF002400KBU | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES | 2026-07-31
Letra Financeira,LF002400KBY,BANCO MERCANTIL DO BRASIL S.A.,FIRF GERAES 30,2026-07-31,LETRA FINANCEIRA | LF002400KBY | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES 30 | 2026-07-31
Letra Financeira,LF002400KBT,BANCO MERCANTIL DO BRASIL S.A.,FIRF GERAES 30,2026-07-31,LETRA FINANCEIRA | LF002400KBT | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES 30 | 2026-07-31
